id,title,isbn,publication_date,price,language,pages,publisher_id,description,tags,authors
80,The Turn of the Screw,978-0486266848,1898-01-01,9.99,en,96,22,Governess believes ghosts haunt her young charges.,horror gothic psychological classic,85
81,The Metamorphosis,978-0486290300,1915-01-01,9.99,en,72,31,Gregor Samsa wakes transformed into a giant insect.,fiction absurdist classic,7
82,The Trial,978-0805209990,1925-01-01,13.99,en,255,32,Josef K is arrested and prosecuted by unknown authority.,fiction absurdist philosophical classic,7
83,The Stranger,978-0679720201,1942-01-01,12.99,en,123,33,Meursault commits murder and faces existential trial.,fiction existentialist classic,31
84,Siddhartha,978-0553208849,1922-01-01,11.99,en,152,34,Young Brahmin searches for enlightenment.,fiction philosophical spiritual,41
86,The Iliad,978-0140275360,,13.99,en,683,1,Achilles' wrath during the Trojan War.,poetry epic classic mythology,216
87,The Odyssey,978-0140268867,,13.99,en,541,1,Odysseus' ten-year journey home from Troy.,poetry epic classic mythology adventure,216
88,The Divine Comedy,978-0142437223,1320-01-01,15.99,en,798,2,Dante's journey through Hell Purgatory and Paradise.,poetry epic classic religion,217
89,Paradise Lost,978-0140424393,1667-01-01,14.99,en,453,3,Satan's rebellion and the fall of man.,poetry epic classic religion,218
90,Beowulf,978-0393320978,1000-01-01,12.99,en,213,4,Geatish hero battles Grendel and dragon.,poetry epic classic mythology,
91,The Canterbury Tales,978-0140424386,1400-01-01,14.99,en,504,3,Pilgrims tell stories on journey to Canterbury.,poetry classic medieval,219
92,Don Quixote,978-0060934347,1605-01-01,17.99,en,1023,5,Delusional knight errant seeks adventure in Spain.,fiction classic satire,46
93,Hamlet,978-0743477123,1603-01-01,11.99,en,342,6,Prince of Denmark seeks revenge for his father's murder.,drama tragedy classic,220
94,Macbeth,978-0743477109,1623-01-01,10.99,en,249,6,Scottish general's ambition leads to tyranny and madness.,drama tragedy classic,220
95,Romeo and Juliet,978-0743477116,1597-01-01,10.99,en,283,6,Star-crossed lovers from feuding families.,drama tragedy romance classic,220
96,Othello,978-0743477550,1603-01-01,11.99,en,314,6,Moorish general destroyed by jealousy and manipulation.,drama tragedy classic,220
97,King Lear,978-0743482769,1606-01-01,11.99,en,311,6,Aging king divides kingdom with tragic consequences.,drama tragedy classic,220
98,A Midsummer Night's Dream,978-0743477543,1600-01-01,10.99,en,142,6,Fairies meddle in lovers' affairs in enchanted forest.,drama comedy fantasy classic,220
99,The Tempest,978-0743482837,1611-01-01,10.99,en,199,6,Prospero uses magic to reclaim his dukedom.,drama comedy fantasy classic,220
100,Medea,978-0486275482,,9.99,en,64,7,Sorceress takes terrible revenge on unfaithful husband.,drama tragedy classic mythology,221
101,Oedipus Rex,978-0486268774,,9.99,en,64,7,King discovers he fulfilled prophecy he tried to avoid.,drama tragedy classic mythology,222
102,Antigone,978-0486278049,,9.99,en,64,7,Woman defies king to bury her brother.,drama tragedy classic mythology,222
103,The Republic,978-0872201361,,15.99,en,416,8,Plato's dialogue on justice and the ideal state.,philosophy classic political-theory,223
104,The Prince,978-0486272740,1532-01-01,9.99,en,96,22,Machiavelli's treatise on political power.,philosophy political-theory classic,224
105,Leviathan,978-0140431957,1651-01-01,16.99,en,736,1,Hobbes argues for social contract and absolute sovereignty.,philosophy political-theory classic,225
106,On Liberty,978-0486421308,1859-01-01,10.99,en,128,22,Mill defends individual freedom against state power.,philosophy political-theory classic,226
107,The Communist Manifesto,978-0486424651,1848-02-21,8.99,en,63,22,Marx and Engels call for workers' revolution.,philosophy political-theory classic,227 228
108,The Wealth of Nations,978-0553585971,1776-03-09,19.99,en,1152,9,Adam Smith's foundational work on economics.,economics philosophy classic,229
109,On the Origin of Species,978-0486450063,1859-11-24,13.99,en,502,22,Darwin's theory of evolution by natural selection.,science biology classic,230
110,A Brief History of Time,978-0553380163,1988-04-01,16.99,en,212,10,Stephen Hawking explains cosmology for general readers.,science physics cosmology,99
111,The Selfish Gene,978-0199291151,1976-01-01,15.99,en,360,11,Richard Dawkins presents gene-centered view of evolution.,science biology evolution,98
112,Cosmos,978-0345539434,1980-01-01,18.99,en,365,12,Carl Sagan explores the universe and humanity's place in it.,science astronomy popular-science,100
113,Sapiens: A Brief History of Humankind,978-0062316097,2011-01-01,19.99,en,443,13,Yuval Noah Harari traces human history from Stone Age to present.,history anthropology popular-science,91
114,Guns Germs and Steel,978-0393317558,1997-03-01,18.99,en,480,14,Jared Diamond explains why some civilizations dominated others.,history anthropology social-science,92
115,The History of the Peloponnesian War,978-0140440393,,16.99,en,648,1,Thucydides chronicles the war between Athens and Sparta.,history classic military-history,336
116,The Histories,978-0140449082,,15.99,en,716,1,Herodotus recounts the Greco-Persian Wars.,history classic ancient-history,337
117,The Decline and Fall of the Roman Empire,978-0140433937,1776-01-01,24.99,en,1952,1,Gibbon traces Rome's decline from 2nd century to 1453.,history classic roman-history,338
118,A People's History of the United States,978-0060838652,1980-01-01,19.99,en,729,15,Howard Zinn tells American history from marginalized perspectives.,history social-history political,231
119,The Diary of a Young Girl,978-0553296983,1947-06-25,12.99,en,283,16,Anne Frank's diary while hiding from Nazis.,biography history wwii classic,151
120,Night,978-0374500016,1960-01-01,11.99,en,120,17,Elie Wiesel's memoir of surviving the Holocaust.,biography history wwii classic,153
121,Man's Search for Meaning,978-0807014271,1946-01-01,13.99,en,165,18,Viktor Frankl finds meaning in concentration camp suffering.,psychology philosophy biography,152
122,The Autobiography of Malcolm X,978-0345350688,1965-01-01,14.99,en,466,19,Malcolm X's journey from street criminal to civil rights leader.,biography history social-justice,232
123,Long Walk to Freedom,978-0316548182,1994-01-01,17.99,en,656,20,Nelson Mandela's autobiography from childhood to presidency.,biography history politics,120
124,The Story of My Life,978-0486292496,1903-01-01,9.99,en,441,22,Helen Keller overcomes blindness and deafness.,biography classic inspirational,233
125,Into the Wild,978-0385486804,1996-01-01,15.99,en,207,21,Christopher McCandless abandons civilization for Alaskan wilderness.,biography adventure non-fiction,107
126,Into Thin Air,978-0385494786,1997-05-01,16.99,en,332,21,Jon Krakauer survives deadly 1996 Mount Everest disaster.,biography adventure mountaineering,107
127,Unbroken,978-0812974492,2010-11-16,17.99,en,473,22,Louis Zamperini survives plane crash Japanese POW camp and PTSD.,biography history wwii survival,234
128,Educated,978-0399590504,2018-02-20,17.99,en,334,23,Tara Westover escapes survivalist family to earn PhD.,biography memoir education,235
129,Born a Crime,978-0399588174,2016-11-15,16.99,en,304,24,Trevor Noah grows up mixed-race in apartheid South Africa.,biography memoir comedy,236
130,The Glass Castle,978-0743247542,2005-03-01,15.99,en,288,25,Jeannette Walls' unconventional upbringing with dysfunctional parents.,biography memoir family,237
131,Wild,978-0307476074,2012-03-20,15.99,en,315,26,Cheryl Strayed hikes Pacific Crest Trail to heal from trauma.,biography memoir adventure,238
132,Eat Pray Love,978-0143038419,2006-02-16,15.99,en,334,27,Elizabeth Gilbert's journey of self-discovery in Italy India and Indonesia.,biography memoir travel self-help,239
133,The Immortal Life of Henrietta Lacks,978-1400052189,2010-02-02,16.99,en,381,28,Story of woman whose cancer cells revolutionized medical research.,biography science medical-ethics,104
134,Just Mercy,978-0812994520,2014-10-21,16.99,en,336,29,Bryan Stevenson fights for wrongly condemned death row prisoners.,biography law social-justice,240
135,When Breath Becomes Air,978-0812988406,2016-01-12,15.99,en,228,30,Neurosurgeon Paul Kalanithi confronts terminal cancer.,biography memoir medicine philosophy,241
136,The Subtle Art of Not Giving a F*ck,978-0062457714,2016-09-13,16.99,en,224,31,Mark Manson's counterintuitive approach to living a good life.,self-help philosophy popular-psychology,242
137,Atomic Habits,978-0735211292,2018-10-16,17.99,en,320,32,James Clear explains how tiny changes create remarkable results.,self-help psychology productivity,132
138,Thinking Fast and Slow,978-0374533557,2011-10-25,18.99,en,499,33,Daniel Kahneman explores two systems that drive human thinking.,psychology behavioral-economics science,95
139,The Power of Habit,978-0812981605,2012-02-28,16.99,en,371,34,Charles Duhigg explains the science of habit formation.,psychology self-help business,243
140,Outliers: The Story of Success,978-0316017923,2008-11-18,16.99,en,309,35,Malcolm Gladwell examines what makes high-achievers successful.,psychology sociology business,94
141,Blink: The Power of Thinking Without Thinking,978-0316010665,2005-01-11,15.99,en,296,35,Malcolm Gladwell explores the power of snap judgments.,psychology decision-making popular-science,94
142,The Tipping Point,978-0316346627,2000-01-01,15.99,en,301,35,Malcolm Gladwell analyzes how ideas spread like epidemics.,sociology marketing popular-science,94
143,Freakonomics,978-0060731335,2005-04-12,16.99,en,336,1,Levitt and Dubner reveal hidden side of everything with economics.,economics sociology popular-science,244
144,Nudge,978-0143115267,2008-04-08,16.99,en,312,2,Thaler and Sunstein show how choice architecture influences decisions.,behavioral-economics psychology policy,245
145,Predictably Irrational,978-0061353239,2008-02-19,16.99,en,368,3,Dan Ariely explores hidden forces that shape our decisions.,behavioral-economics psychology popular-science,246
146,The Black Swan,978-0812973815,2007-04-17,17.99,en,444,4,Nassim Taleb analyzes highly improbable events with massive impact.,economics philosophy risk-management,96
147,Antifragile,978-0812979688,2012-11-27,18.99,en,519,4,Nassim Taleb explains things that gain from disorder.,philosophy economics risk-management,96
148,Zero to One,978-0804139298,2014-09-16,16.99,en,224,5,Peter Thiel shares insights on innovation and startups.,business entrepreneurship technology,247
149,The Lean Startup,978-0307887894,2011-09-13,17.99,en,336,6,Eric Ries presents methodology for developing successful businesses.,business entrepreneurship innovation,248
150,Good to Great,978-0066620992,2001-10-16,18.99,en,300,7,Jim Collins identifies what separates great companies from good ones.,business leadership management,249
151,The 7 Habits of Highly Effective People,978-0743269513,1989-08-15,16.99,en,381,8,Stephen Covey's principles for personal effectiveness.,self-help leadership productivity,137
152,How to Win Friends and Influence People,978-0671027032,1936-10-01,14.99,en,288,9,Dale Carnegie's timeless advice on human relations.,self-help communication business classic,136
153,The 4-Hour Workweek,978-0307465351,2007-04-24,16.99,en,308,10,Tim Ferriss shows how to escape 9-5 and live anywhere.,self-help business lifestyle,134
154,Shoe Dog,978-1501135910,2016-04-26,17.99,en,386,11,Phil Knight's memoir of creating Nike.,biography business entrepreneurship,250
155,Steve Jobs,978-1451648539,2011-10-24,19.99,en,656,12,Walter Isaacson's authorized biography of Apple co-founder.,biography business technology,113
156,Elon Musk,978-0062301239,2015-05-12,18.99,en,400,13,Ashlee Vance chronicles the life of SpaceX and Tesla founder.,biography business technology,251
157,The Code Breaker,978-1982115852,2021-03-09,18.99,en,560,14,Walter Isaacson tells story of CRISPR and Jennifer Doudna.,biography science biotechnology,113
158,Leonardo da Vinci,978-1501139154,2017-10-17,19.99,en,624,12,Walter Isaacson explores genius of Renaissance polymath.,biography history art science,113
159,The Wright Brothers,978-1476728742,2015-05-05,17.99,en,320,15,David McCullough recounts aviation pioneers' achievement.,biography history technology,110
160,Alexander Hamilton,978-0143034759,2004-04-01,18.99,en,818,1,Ron Chernow's biography inspired the hit musical.,biography history politics,112
161,John Adams,978-0743223133,2001-05-22,18.99,en,751,16,David McCullough portrays America's second president.,biography history politics,110
162,Benjamin Franklin,978-0743258074,2003-07-01,18.99,en,608,17,Walter Isaacson chronicles Franklin's remarkable life.,biography history science politics,113
163,Churchill: A Life,978-0805023961,1991-10-01,24.99,en,1066,18,Martin Gilbert's single-volume biography of Winston Churchill.,biography history wwii politics,252
164,Team of Rivals,978-0743270755,2005-10-25,21.99,en,916,19,Doris Kearns Goodwin shows how Lincoln led his cabinet.,biography history politics leadership,111
165,The Rise of Theodore Roosevelt,978-0375756788,1979-01-01,19.99,en,886,20,Edmund Morris covers TR's life up to presidency.,biography history politics,253
166,Catherine the Great,978-0679456728,2011-11-01,19.99,en,626,21,Robert Massie's biography of Russia's longest-ruling female leader.,biography history politics,254
167,Cleopatra: A Life,978-0316001946,2010-11-01,17.99,en,368,22,Stacy Schiff separates myth from reality of Egypt's last pharaoh.,biography history ancient-history,255
168,The Rape of Nanking,978-0465068364,1997-12-01,16.99,en,290,23,Iris Chang documents the 1937 massacre in China.,history wwii war-crimes,256
169,The Warmth of Other Suns,978-0679763888,2010-09-07,18.99,en,622,24,Isabel Wilkerson chronicles the Great Migration of Black Americans.,history social-history race,257
170,The Devil in the White City,978-0375725609,2003-02-11,17.99,en,447,25,Erik Larson interweaves 1893 World's Fair with serial killer's story.,history true-crime architecture,109
171,Dead Wake,978-0307408860,2015-03-10,17.99,en,430,25,Erik Larson recounts the sinking of the Lusitania.,history wwi maritime,109
172,In the Garden of Beasts,978-0307408853,2011-05-10,16.99,en,448,25,Erik Larson portrays American ambassador in Nazi Germany.,history wwii biography,109
173,The Lost City of Z,978-1400078455,2009-02-24,16.99,en,339,26,David Grann searches for explorer who vanished in Amazon.,biography adventure history,115
174,Killers of the Flower Moon,978-0307742483,2017-04-18,17.99,en,399,27,David Grann investigates murders of Osage Nation members.,true-crime history native-american,115
175,The Professor and the Madman,978-0060175962,1998-09-01,15.99,en,242,28,Simon Winchester tells story of Oxford English Dictionary's creation.,history biography linguistics,258
176,The Ghost Map,978-1594482694,2006-10-19,15.99,en,299,29,Steven Johnson recounts 1854 cholera outbreak that changed cities.,history science medicine urban-planning,259
177,The Innovators,978-1476708690,2014-10-07,19.99,en,542,12,Walter Isaacson chronicles digital revolution's pioneers.,history technology biography,113
178,Bad Blood,978-1524731656,2018-05-21,17.99,en,339,30,John Carreyrou exposes Theranos fraud.,true-crime business technology,260
179,Say Nothing,978-0385521314,2019-02-26,17.99,en,464,31,Patrick Radden Keefe investigates murder during the Troubles.,true-crime history political-violence,261
180,Empire of Pain,978-0385545686,2021-04-13,18.99,en,560,32,Patrick Radden Keefe traces Sackler family and opioid crisis.,true-crime business medical-history,261
181,I Promessi Sposi,978-8817014632,1827-06-01,14.99,it,720,1,Alessandro Manzoni racconta amore e ingiustizia nella Lombardia del 1600.,fiction historical romance classic,262
182,Il Nome della Rosa,978-8845292606,1980-09-01,16.99,it,503,2,Frate francescano indaga misteriose morti in abbazia medievale.,mystery historical literary,24
183,Se questo è un uomo,978-8806181178,1947-01-01,13.99,it,174,3,Primo Levi testimonia orrori di Auschwitz.,biography history wwii classic,26
184,Il Gattopardo,978-8807880353,1958-11-01,15.99,it,286,4,Principe siciliano osserva il tramonto dell'aristocrazia.,fiction historical literary,263
185,La Storia,978-8806220068,1974-06-01,17.99,it,651,5,Elsa Morante racconta una famiglia durante la Seconda Guerra Mondiale.,fiction historical literary,264
186,Il Giardino dei Finzi-Contini,978-8807880612,1962-06-01,14.99,it,229,6,Amicizia e amore in una famiglia ebraica prima della Shoah.,fiction historical romance,265
187,Cristo si è fermato a Eboli,978-8806220181,1945-01-01,13.99,it,230,7,Carlo Levi descrive esilio in Lucania durante fascismo.,biography history social-commentary,266
188,Fontamara,978-8804668237,1933-01-01,12.99,it,156,8,Ignazio Silone racconta sofferenze dei cafoni abruzzesi.,fiction social-commentary classic,267
189,La Coscienza di Zeno,978-8807900242,1923-01-01,14.99,it,437,9,Zeno Cosini analizza la propria vita in chiave psicoanalitica.,fiction psychological modernist,268
190,Il Fu Mattia Pascal,978-8807900358,1904-01-01,12.99,it,268,10,Uomo approfitta della propria morte presunta per rifarsi una vita.,fiction philosophical classic,269
191,Uno Nessuno e Centomila,978-8807900549,1926-01-01,13.99,it,218,10,Vitangelo Moscarda scopre di essere diverso per ciascuno.,fiction philosophical modernist,269
192,Il Deserto dei Tartari,978-8817070843,1940-01-01,14.99,it,212,11,Ufficiale attende invano battaglia nella fortezza Bastiani.,fiction existentialist literary,270
193,Le Città Invisibili,978-8804668015,1972-11-01,14.99,it,165,12,Marco Polo descrive città immaginarie a Kublai Khan.,fiction fantasy literary postmodern,23
194,Se una notte d'inverno un viaggiatore,978-8804668022,1979-11-01,15.99,it,254,12,Lettore insegue dieci romanzi incompiuti.,fiction metafiction postmodern,23
195,Il Barone Rampante,978-8804668091,1957-06-01,13.99,it,277,12,Nobile bambino sale su un albero e non scende più.,fiction fantasy philosophical,23
196,Il Visconte Dimezzato,978-8804668107,1952-01-01,12.99,it,122,12,Visconte tagliato a metà da palla di cannone.,fiction fantasy philosophical,23
197,Il Cavaliere Inesistente,978-8804668114,1959-01-01,12.99,it,138,12,Armatura vuota combatte nelle guerre di Carlomagno.,fiction fantasy philosophical,23
